조사일,상품명,업태,평균판매가격
2024-12-20,행복한콩 부침두부(300g),백화점,1445
2024-12-20,행복한콩 부침두부(300g),기업형슈퍼,1700
2024-12-20,행복한콩 부침두부(300g),편의점,1900
2024-12-20,삼립호떡 미니꿀호떡(16개입),대형마트,4180
2024-12-20,삼립호떡 미니꿀호떡(16개입),백화점,4000
2024-12-20,삼립호떡 미니꿀호떡(16개입),기업형슈퍼,3285
2024-12-20,보노 포르치니버섯스프(3개입),대형마트,3350
2024-12-20,보노 포르치니버섯스프(3개입),백화점,3018
2024-12-20,보노 포르치니버섯스프(3개입),기업형슈퍼,3611
2024-12-20,보노 포르치니버섯스프(3개입),편의점,3750
2024-12-20,청정원 옛날식 짜장(180g),백화점,2101
2024-12-20,청정원 옛날식 짜장(180g),기업형슈퍼,1500
2024-12-20,청정원 카레여왕 비프카레(160g),백화점,2537
2024-12-20,청정원 카레여왕 비프카레(160g),기업형슈퍼,2580
2024-12-20,오뚜기밥(3개입),백화점,4130
2024-12-20,오뚜기밥(3개입),기업형슈퍼,3338
2024-12-20,오뚜기밥(3개입),편의점,4400
2024-12-20,햇반(3개입),백화점,4599
2024-12-20,햇반(3개입),기업형슈퍼,6180
2024-12-20,햇반(3개입),편의점,4000
2024-12-20,오리온 포카칩 오리지널(66g),대형마트,1360
2024-12-20,오리온 포카칩 오리지널(66g),백화점,1711
2024-12-20,오리온 포카칩 오리지널(66g),기업형슈퍼,1480
2024-12-20,오리온 포카칩 오리지널(66g),편의점,1700
2024-12-20,빙그레 떡붕어 싸만코(150ml),대형마트,1200
2024-12-20,빙그레 떡붕어 싸만코(150ml),백화점,1200
2024-12-20,빙그레 떡붕어 싸만코(150ml),기업형슈퍼,1200
2024-12-20,빙그레 떡붕어 싸만코(150ml),편의점,2200
2024-12-20,돼지바(70ml),대형마트,600
2024-12-20,돼지바(70ml),백화점,875
2024-12-20,돼지바(70ml),기업형슈퍼,948
2024-12-20,돼지바(70ml),편의점,1200
2024-12-20,해태 바밤바(70ml),대형마트,600
2024-12-20,해태 바밤바(70ml),기업형슈퍼,700
2024-12-20,해태 바밤바(70ml),편의점,1500
2024-12-20,농심 새우깡(90g),대형마트,1100
2024-12-20,농심 새우깡(90g),백화점,1336
2024-12-20,농심 새우깡(90g),기업형슈퍼,1289
2024-12-20,농심 새우깡(90g),편의점,1400
2024-12-20,오리온 초코파이(18개입),대형마트,6480
2024-12-20,오리온 초코파이(18개입),백화점,6490
2024-12-20,오리온 초코파이(18개입),기업형슈퍼,5981
2024-12-20,농심 신라면 큰사발면(114g),대형마트,1160
2024-12-20,농심 신라면 큰사발면(114g),백화점,1350
2024-12-20,농심 신라면 큰사발면(114g),기업형슈퍼,1313
2024-12-20,농심 신라면 큰사발면(114g),편의점,1400
2024-12-20,오뚜기 참깨라면 컵(110g),대형마트,1200
2024-12-20,오뚜기 참깨라면 컵(110g),백화점,1318
2024-12-20,오뚜기 참깨라면 컵(110g),기업형슈퍼,1293
2024-12-20,오뚜기 참깨라면 컵(110g),편의점,1700
2024-12-20,팔도 왕뚜껑(110g),대형마트,975
2024-12-20,팔도 왕뚜껑(110g),백화점,1400
2024-12-20,팔도 왕뚜껑(110g),기업형슈퍼,1124
2024-12-20,팔도 왕뚜껑(110g),편의점,1400
2024-12-20,오뚜기 옛날 사골곰탕(350g),백화점,1440
2024-12-20,오뚜기 옛날 사골곰탕(350g),기업형슈퍼,1480
2024-12-20,오뚜기 옛날 사골곰탕(350g),편의점,1500
2024-12-20,오뚜기 옛날 육개장(300g),백화점,1590
2024-12-20,오뚜기 옛날 육개장(300g),기업형슈퍼,1452
2024-12-20,오뚜기 옛날 육개장(300g),편의점,1500
2024-12-20,비비고 사골곰탕(500g),대형마트,1514
2024-12-20,비비고 사골곰탕(500g),백화점,1595
2024-12-20,비비고 사골곰탕(500g),기업형슈퍼,2168
2024-12-20,비비고 사골곰탕(500g),편의점,2567
2024-12-20,비비고 육개장(500g),대형마트,5480
2024-12-20,비비고 육개장(500g),백화점,4440
2024-12-20,비비고 육개장(500g),기업형슈퍼,5730
2024-12-20,비비고 육개장(500g),편의점,5900
2024-12-20,햇반 컵반 미역국밥(167g),대형마트,2490
2024-12-20,햇반 컵반 미역국밥(167g),백화점,2868
2024-12-20,햇반 컵반 미역국밥(167g),기업형슈퍼,4094
2024-12-20,햇반 컵반 미역국밥(167g),편의점,4800
2024-12-20,닥터유 에너지바(40g),대형마트,1020
2024-12-20,닥터유 에너지바(40g),백화점,1233
2024-12-20,닥터유 에너지바(40g),기업형슈퍼,1014
2024-12-20,닥터유 에너지바(40g),편의점,1300
